,AIR_MOTOR,APPROVED_BY,CHS,CUST,DATE_DRAWN,DESCRIPTION,DIRNAME,DRAWING_NUMBER,DRAWN_BY,DWG_TYPE,ELEC_MOTOR,FA1,FA10,FA11,FA12,FA13,FA14,FA15,FA16,FA17,FA18,FA19,FA1_1,FA1_2,FA1_3,FA2,FA20,FA21,FA22,FA23,FA24,FA25,FA26,FA27,FA28,FA29,FA3,FA30,FA31,FA32,FA33,FA34,FA35,FA36,FA37,FA38,FA39,FA4,FA40,FA41,FA42,FA43,FA44,FA45,FA46,FA47,FA5,FA6,FA7,FA8,FA9,FNAME,FTYPE,F_AM_1,F_AM_10,F_AM_11,F_AM_12,F_AM_13,F_AM_14,F_AM_2,F_AM_3,F_AM_4,F_AM_5,F_AM_6,F_AM_7,F_AM_8,F_AM_9,F_CHS_1,F_CHS_10,F_CHS_11,F_CHS_12,F_CHS_13,F_CHS_14,F_CHS_15,F_CHS_2,F_CHS_3,F_CHS_4,F_CHS_5,F_CHS_6,F_CHS_7,F_CHS_8,F_CHS_9,F_EM_1,F_EM_2,F_EM_3,F_EM_4,F_EM_5,F_EM_6,F_EM_7,F_EM_8,F_EM_9,F_GHT_1,F_GHT_10,F_GHT_11,F_GHT_12,F_GHT_13,F_GHT_14,F_GHT_15,F_GHT_2,F_GHT_3,F_GHT_4,F_GHT_5,F_GHT_6,F_GHT_7,F_GHT_8,F_GHT_9,F_PNU_1,F_PNU_10,F_PNU_11,F_PNU_12,F_PNU_13,F_PNU_2,F_PNU_3,F_PNU_4,F_PNU_5,F_PNU_6,F_PNU_7,F_PNU_8,F_PNU_9,F_SC_1,F_SC_2,F_SC_3,GHT,LANG,OPERATOR_TYPE,PA1,PA10,PA11,PA12,PA13,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA3,PA30,PA31,PA32,PA33,PA34,PA35,PA36,PA37,PA4,PA5,PA6,PA7,PA8,PA9,PB_TYPE,PNEUMATIC,PUMP,REVISION,SELFCONTAINED,SHEET_SIZE,SP_OPT,INFOS,OSM_VERSION_ID
,,MLK,,,5/5/94,ELECTRIC REMOTE 2-WAY,,8477-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASQ6ZK1H      ,
,,MLK,,,5/5/94,STATION BY-PASS,,8476-S,LER,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,2,,C   ,OUT-DATED,ASQ6ZK1X      ,
,,MLK,,,5/4/94,STATION BY-PASS & EMERGENCY SHUTDOWN,,8475-S,LER,,,,,,Y,,Y,Y,,,,Y,,,,,,,,Y,,,,,,,,,Y,N,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASQ6ZK27      ,
,,MLK,,,5/3/94,STATION BY-PASS & EMERGENCY SHUTDOWN,,8474-S,LER,,,,,,Y,,Y,Y,,,,Y,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASQ6ZK2H      ,
,,MLK,,,4/3/94,HIGH CLOSE & LOW OPEN,,8473-S,LER,,,N,,,,Y,Y,,,N,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASQ6ZK2R      ,
,,MLK,,,4/29/93,STATION BY-PASS & EMERGENCY SHUTDOWN,,8472-S,LER,,,,,,Y,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASQ6ZK31      ,
,,MLK,,,4/27/94,LINEBREAK,,8470-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASQ6ZK3B      ,
,,MLK,N,,4/26/94,LOW PRESSURE SHUTOFF & ELECTRIC REMOTE 2-WAY,,8469-S,LER,,,Y,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,,Y,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,D   ,OUT-DATED,ASQ6ZK3L      ,
,,MLK,,,4/22/94,2-WAY PNEUMATIC,,8467-S,LER,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (DS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,C   ,OUT-DATED,ASQ6ZK3V      ,
,,MLK,,,4/21/94,EMERGENCY SHUTDOWN & 2WE WITH FAILSAFE,,8465-S,LER,,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,ASQ6ZK45      ,
,,MLK,,,4/21/94,2-WAY PNEUMATIC,,8464-S,LER,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (RPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,C   ,OUT-DATED,ASQ6ZK4F      ,
,,MLK,,,4/21/94,EMERGENCY SHUTDOWN & 2WE WITH FAILSAFE,,8463-S,LER,,,,,,,,Y,,,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,ASQ6ZK4P      ,
,,MLK,,,4/20/94,EMERGENCY SHUTDOWN & 2WE WITH FAILSAFE,,8462-S,LER,,,,,,,,Y,,,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/2""",,Y,0,,C   ,,ASQ6ZK4Z      ,
,,MLK,Y,,4/18/94,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,8457-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,N,0,,B   ,,ASQ6ZK5N      ,
,,MLK,N,,4/14/94,2-WAY HYDRAULIC,,8456-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,N,0,,A   ,,ASQ6ZK5X      ,
,,MLK,,,7/13/93,EMERGENCY SHUTDOWN & ELECTIC REMOTE 2-WAY,,8149-SF,LER,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,,FRENCH,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,C   ,OUT-DATED,ASUMHKPH      ,
,,MLK,,,7/13/93,EMERGENCY SHUTDOWN & ELECTIC REMOTE 2-WAY,,8149-S,LER,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,C   ,OUT-DATED,ASUMHKPR      ,
,,MLK,,,7/12/93,ELECTRIC REMOTE 2-WAY,,8148-SF,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,FRENCH,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,B   ,OUT-DATED,ASUMHKQ1      ,
,,MLK,,,7/12/93,ELECTRIC REMOTE 2-WAY,,8148-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,B   ,OUT-DATED,ASUMHKQB      ,
,,SS,,,7/12/93,ELECTRIC FAILSAFE,,8147-S,LER,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,GATE (LINEAR) SPRING RETURN,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,NONE,,Y,0,,C   ,,ASUMHKQR      ,
,,MLK,,,7/10/93,ELECTRIC REMOTE 2-WAY WITH  FAILSAFE,,8146-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,N,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY PISTON (RPS),,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,D   ,,ASUMHKR7      ,
,,MLK,,,7/10/93,ELECTRIC REMOTE 2-WAY WITH  FAILSAFE,,8145-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY PISTON (RPS),,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,ASUMHKRH      ,
,,MLK,Y,,7/9/93,,,8144-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURIZED,,Y,1,,C   ,,ASUMHKRR      ,
,,MLK,,,7/9/93,LOW PRESSURE SHUTOFF,,8143-S,LER,,,Y,,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECIAL,Y,Y,0,,C   ,OUT-DATED,ASUMHKS1      ,
,,MLK,Y,,7/9/93,2-WAY HYDRAULIC,,8142-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,NONE,,N,0,,A   ,,ASUMHKSB      ,
,,MLK,,,7/9/93,LOW PRESSURE SHUTOFF AND ELECTRIC REMOTE 2-WAY,,8141-S,LER,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,Y,Y,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"MANIFOLDED 1/4""",,Y,1,,D   ,OUT-DATED,ASUMHKSL      ,
,,MLK,,,7/8/93,"LOW PRESSURE SHUTOFF, SBP & SINGLE WAY ELECTRIC",,8140-S,LER,,,Y,,,,,Y,Y,,,,,,,,Y,,,,Y,,,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,C   ,OUT-DATED,ASUMHKSV      ,
,,MLK,,,7/8/93,2-WAY PNEUMATIC,,8139-S,LER,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASUMHKT5      ,
,,MLK,,,7/8/93,HIGH-LOW SHUTOFF & EMERGENCY SHUTDOWN,,8138-S,LER,,,,,,,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASUMHKTF      ,
,,MLK,,,7/7/93,"LINEBREAK, LOW PRESSURE SHUTOFF, 2WE WITH FAILSAFE",,8137-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,D   ,OUT-DATED,ASUMHKUL      ,
,,MLK,,,7/7/93,"LINEBREAK, LOW PRESSURE SHUTOFF, 2WE WITH FAILSAFE",,8136-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,D   ,OUT-DATED,ASUW8JDB      ,
,,MLK,,,7/7/93,HIGH-LOW SHUTOFF & EMERGENCY SHUTDOWN,,8135-S,LER,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ASUW8JDL      ,
,,MLK,Y,,6/30/93,HIGH-LOW SHUTOFF & ELECTRIC REMOTE 2-WAY,,8134-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,ASUW8JDV      ,
,Y,MLK,,,6/30/93,CENTRAL HYDRAULIC SYSTEM,,8133-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,NONE,,Y,Y,,,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,NONE,,N,3,,C   ,,ASUW8JE5      ,
,,MLK,,,7/6/93,EMERGENCY SHUTDOWN,,8132-S,LER,,,,,,,,Y,,,,Y,,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY PISTON (S-SERIES),,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,D   ,OUT-DATED,ASUW8JEF      ,
,,MLK,Y,,2/3/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7637-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES) SR,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,NONE,,N,0,,C   ,,ATJYKJDV      ,
,,MLK,,,1/13/92,ELECTRIC REMOTE 2-WAY & ESD,,7621-S,LER,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK0O363      ,
